,year_mon_day,hour,wind_dir_avg_10,wind_speed_h_avg,wind_speed_avg_10,air_pressure,humidity,full_datetime,capacity,volume,percentage,emission,emissionfactor,correct_days,date,month,week_number,max_capacity,log_volume,ratio_VC,prijs_excl_belastingen
2017-01-03 03:00:00,20170103,3,249.18967262161203,40.0,42.0,10250.631578947368,91.92307692307692,2017-01-03-04,699781,699781,0.8124679923057556,0,0,2017-01-03-04,2017-01-03,2017-01,1,861302.8533149301,13.458524136950166,0.8124679923057556,0.0306
2017-01-03 04:00:00,20170103,4,245.27332293572684,41.333333333333336,42.66666666666666,10248.052631578948,92.03846153846152,2017-01-03-05,714163,714163,0.8291710019111633,0,0,2017-01-03-05,2017-01-03,2017-01,1,861297.6073137141,13.478867906823332,0.8291710019111633,0.0299
2017-01-03 05:00:00,20170103,5,246.96538654676445,46.66666666666666,47.66666666666666,10245.421052631578,91.1923076923077,2017-01-03-06,665972,665972,0.7732170224189758,0,0,2017-01-03-06,2017-01-03,2017-01,1,861300.2309707765,13.409004408160195,0.7732170224189758,0.03
2017-01-03 06:00:00,20170103,6,242.29038127923235,49.0,50.66666666666666,10243.105263157897,90.26923076923076,2017-01-03-07,750967,750967,0.8718979954719543,0,0,2017-01-03-07,2017-01-03,2017-01,1,861301.4411089511,13.529118319984917,0.8718979954719543,0.0324
2017-01-03 07:00:00,20170103,7,242.3012618102344,51.333333333333336,51.66666666666666,10244.105263157897,90.3076923076923,2017-01-03-08,800465,800465,0.9293689727783204,0,0,2017-01-03-08,2017-01-03,2017-01,1,861299.4660312729,13.592949337062793,0.9293689727783204,0.042
2017-01-03 08:00:00,20170103,8,242.2997546840262,54.66666666666666,56.0,10245.157894736842,89.46153846153847,2017-01-03-09,807701,807701,0.9377689957618712,0,0,2017-01-03-09,2017-01-03,2017-01,1,861300.6013744354,13.601948457594215,0.9377689957618712,0.0421
2017-01-03 09:00:00,20170103,9,240.6173770359662,60.333333333333336,65.0,10241.052631578948,87.76923076923077,2017-01-03-10,835234,835234,0.9697369933128356,0,0,2017-01-03-10,2017-01-03,2017-01,1,861299.5129191228,13.635468401362742,0.9697369933128357,0.0417
2017-01-03 10:00:00,20170103,10,241.25622016233825,67.33333333333333,68.0,10234.052631578948,85.8076923076923,2017-01-03-11,838391,838391,0.9734050035476683,0,0,2017-01-03-11,2017-01-03,2017-01,1,861297.1958685267,13.639241050518656,0.9734050035476683,0.0399
2017-01-03 11:00:00,20170103,11,244.28712213839003,70.0,71.33333333333333,10226.631578947368,84.38461538461539,2017-01-03-12,835400,835400,0.9699249863624572,0,0,2017-01-03-12,2017-01-03,2017-01,1,861303.721159952,13.635667128075857,0.9699249863624572,0.0374
2017-01-03 12:00:00,20170103,12,246.6257581155737,72.33333333333333,72.0,10219.894736842103,83.5,2017-01-03-13,838947,838947,0.9740470051765442,0,0,2017-01-03-13,2017-01-03,2017-01,1,861300.3228195773,13.639904004982705,0.9740470051765442,0.0351
